"","title","p1","p2","p3","CV"
"1","公安部原党委委员、副部长孙力军严重违纪违法被开除党籍和公职","中央纪委国家监委网站讯 日前，经中共中央批准，中央纪委国家监委对公安部原党委委员、副部长孙力军严重违纪违法问题进行了立案审查调查。","经查，孙力军从未真正树立理想信念，背弃“两个维护”，毫无“四个意识”，政治野心极度膨胀，政治品质极为恶劣，权力观、政绩观极度扭曲，妄议党中央大政方针，制造散布政治谣言，阳奉阴违，欺上瞒下，捞取政治资本；为实现个人政治目的，不择手段，操弄权术，在党内大搞团团伙伙、拉帮结派、培植个人势力，形成利益集团，成伙作势控制要害部门，严重破坏党的团结统一，严重危害政治安全；狂妄自大，恣意妄为，大搞特权，在抗击新冠肺炎疫情一线擅离职守，私藏私放大量涉密材料，长期搞迷信活动；使用公安侦查手段对抗组织审查。违背组织原则，在组织函询时不如实说明问题，大肆卖官鬻爵、安插亲信、布局人事，严重破坏公安政法系统政治生态；无视中央八项规定精神，生活腐化堕落，长期收受大量贵重物品，长期接受可能影响公正执行公务的宴请和高档消费娱乐活动，长期安排私营企业主租用高档寓所供其使用，长期沉溺于各种奢靡服务；毫无道德底线，大搞权色、钱色交易；极度贪婪，大肆进行权钱交易，非法收受巨额财物。","孙力军严重违反党的政治纪律、组织纪律和廉洁纪律，构成严重职务违法并涉嫌犯罪，且在党的十八大后不收敛不收手，甚至变本加厉，情节特别严重，性质特别恶劣，影响极坏，应予严肃处理。依据《中国共产党纪律处分条例》《中华人民共和国监察法》《中华人民共和国公职人员政务处分法》等有关规定，经中央纪委常委会会议研究并报中共中央批准，决定给予孙力军开除党籍处分；由国家监委给予其开除公职处分；终止其党的十九大代表资格；将其涉嫌犯罪问题移送检察机关依法审查起诉，所涉财物一并移送。",0
"2","山西省原副省长、公安厅原厅长刘新云严重违纪违法被开除党籍和公职","中央纪委国家监委网站讯 日前，经中共中央批准，中央纪委国家监委对山西省政府原党组成员、副省长，省公安厅原党委书记、厅长刘新云严重违纪违法问题进行了立案审查调查。","经查，刘新云丧失政治原则，毫无“四个意识”，参与在党内搞团团伙伙，结交“政治骗子”，热衷政治投机，造成恶劣政治影响；违反中央八项规定精神，接受可能影响公正执行公务的宴请；弄虚作假骗取学历，违规配备、使用秘书工作人员；利用职务便利在企业经营、职务调整、案件办理等方面为他人谋取利益，并非法收受巨额财物；急功近利、好大喜功，滥权妄为造成重大损失。","刘新云严重违反党的政治纪律、组织纪律和生活纪律，构成严重职务违法并涉嫌受贿、滥用职权犯罪，且在党的十八大后不收敛不收手，性质严重，影响恶劣，应予严肃处理。依据《中国共产党纪律处分条例》《中华人民共和国监察法》《中华人民共和国公职人员政务处分法》等有关规定，经中央纪委常委会会议研究并报中共中央批准，决定给予刘新云开除党籍处分；由国家监委给予其开除公职处分；收缴其违纪违法所得；将其涉嫌犯罪问题移送检察机关依法审查起诉，所涉财物一并移送。",0
"3","河北省人大常委会原党组书记、副主任杨崇勇严重违纪被开除党籍和公职","日前，经中共中央批准，中共中央纪委对第十八届中央候补委员，河北省人大常委会原党组书记、副主任杨崇勇严重违纪问题进行了立案审查。","经查，杨崇勇严重违反政治纪律和政治规矩、组织纪律，办理假身份证件，并以此私自出境，长期向组织隐瞒本人的婚姻变化情况，对抗组织审查；违反廉洁纪律，收受礼金，长期借用私营企业主车辆、住房。利用职务上的便利为他人谋取利益并收受巨额财物，涉嫌受贿犯罪。","杨崇勇身为中央候补委员，忘记入党初心，丧失理想信念，毫无宗旨意识，私欲极度膨胀，严重违反党的纪律，并涉嫌违法犯罪，性质十分恶劣、情节特别严重，损害党的事业，污染河北省的政治生态，应予严肃处理。依据《中国共产党纪律处分条例》等有关规定，经中央纪委常委会会议研究并报中央政治局会议审议，决定给予杨崇勇开除党籍、开除公职处分；免去其河北省委委员职务，终止其党的十八大代表、河北省第九次党代会代表资格；收缴其违纪所得；将其涉嫌犯罪问题、线索及所涉款物移送司法机关依法处理。给予其开除党籍的处分，待召开中央委员会全体会议时予以追认。",0
"4","福建省原省委副书记、省长，中石化集团原党组书记、总经理苏树林严重违纪被开除党籍和公职","日前，经中共中央批准，中共中央纪委对第十八届中央委员，福建省原省委副书记、省长，中石化集团原党组书记、总经理苏树林严重违纪问题进行了立案审查。","经查，苏树林严重违反政治纪律和政治规矩、组织纪律，打探巡视消息，在党内搞非组织活动，对抗组织审查，违规提拔身边工作人员；为了个人目的，置国家利益于不顾，无视组织原则，肆无忌惮地滥用职权、违规决策，造成国有资产巨额损失；严重违反廉洁纪律和中央八项规定精神，长期安排有关单位公款支付个人费用，公款接待亲友旅游，公车私用，利用职务影响帮助亲属低价购房。滥用职权造成国有资产巨额损失，涉嫌滥用职权犯罪；利用职务上的便利为他人谋取利益并收受巨额财物，涉嫌受贿犯罪。","苏树林身为中央委员，完全丧失理想信念，毫无党性原则和宗旨意识，私欲膨胀，胆大妄为，严重违反党的纪律，并涉嫌违法犯罪，性质和情节极其恶劣，严重损害国家利益，破坏了相关地方和单位的政治生态，社会影响极坏，应予严肃处理。依据《中国共产党纪律处分条例》等有关规定，经中央纪委常委会会议研究并报中央政治局会议审议，决定给予苏树林开除党籍处分；由监察部报国务院批准，给予其开除公职处分；终止其党的十八大代表资格；收缴其违纪所得；将其涉嫌犯罪问题、线索及所涉款物移送司法机关依法处理。给予其开除党籍的处分，待召开中央委员会全体会议时予以追认。",0
"5","国务院国有资产监督管理委员会原党委副书记、副主任张喜武因严重违纪受到撤销党内职务、行政撤职处分","日前，经中共中央批准，中共中央纪委对第十八届中央候补委员，国务院国有资产监督管理委员会原党委副书记、副主任张喜武严重违纪问题进行了立案审查。","经查，张喜武同志身为党的高级领导干部，严重违反政治纪律和政治规矩，在党内选举中搞拉票等非组织活动，打探巡视信息；违反组织纪律，利用职权为亲属在职务晋升等方面谋取利益，且在组织函询时不如实说明问题；违反廉洁纪律，违规从事营利活动；违反工作纪律，履行全面从严治党主体责任不力。依据《中国共产党纪律处分条例》等有关规定，经中央纪委常委会会议研究并报中央政治局会议审议，决定给予张喜武同志撤销党内职务处分，由监察部报请国务院批准给予其行政撤职处分，降为正局级非领导职务；终止其党的十八大代表资格；收缴其违纪所得。给予其撤销党内职务的处分，待召开中央委员会全体会议时予以追认。","张喜武简历",1
"6","中央纪委驻国家民族事务委员会纪检组原组长、国家民族事务委员会原党组成员曲淑辉履行全面从严治党监督责任不力被问责","日前，经中共中央批准，中共中央纪委对第十八届中央纪委委员，中央纪委驻国家民族事务委员会纪检组原组长、国家民族事务委员会原党组成员曲淑辉严重失职失责问题立案审查。","经查，曲淑辉同志担任中央纪委驻民政部纪检组组长、民政部党组成员期间，未按照党中央要求履行全面从严治党监督责任，对驻在部门所辖单位发生系统性腐败问题严重失职失责；未按照党中央要求聚焦主责主业，长期干预和插手驻在部门下属单位相关工程项目，并从中谋取私利。","依据《中国共产党问责条例》《中国共产党纪律处分条例》等有关规定和曲淑辉同志的违纪事实，经中央纪委常委会会议研究并报中共中央批准，决定给予曲淑辉同志留党察看二年、行政撤职处分，降为正处级非领导职务。给予其留党察看二年的处分，待召开中央纪委全体会议时予以追认。",0
"7","甘肃省原省委常委、副省长虞海燕严重违纪被开除党籍和公职","日前，经中共中央批准，中共中央纪委对甘肃省原省委常委、副省长虞海燕严重违纪问题进行了立案审查。","经查，虞海燕严重违反政治纪律和政治规矩、组织纪律，毫无党性原则和组织观念，搞团团伙伙，培植私人势力，对抗组织审查，拉拢腐蚀纪检干部和巡视干部，打探巡视信息，干扰监督执纪工作；违反中央八项规定精神，变公务接待场所为个人奢靡享乐据点，长期占用企业提供的住房和车辆；违反廉洁纪律，利用职权为亲属经营活动谋利，纵容、默许亲属利用其职务影响谋取私利，违规从事营利活动，收受礼品、礼金，搞权色交易；违反工作纪律，违规将国有企业大额资金外借。利用职务上的便利为他人谋取利益并收受巨额财物，涉嫌受贿犯罪。","虞海燕身为党的高级领导干部，毫无政治信仰和党性观念，严重违反党的纪律，并涉嫌违法犯罪，严重损害甘肃省特别是兰州市的政治生态，性质十分恶劣、情节特别严重、社会影响极坏。依据《中国共产党纪律处分条例》等有关规定，经中央纪委常委会会议研究并报中共中央批准，决定给予虞海燕开除党籍处分；由监察部报国务院批准，给予其开除公职处分；收缴其违纪所得；将其涉嫌犯罪问题、线索及所涉款物移送司法机关依法处理。",0
"8","全国政协原常委、港澳台侨委员会原主任孙怀山严重违纪被开除党籍和公职","日前，经中共中央批准，中共中央纪委对第十八届中央委员，全国政协原常委、港澳台侨委员会原主任孙怀山严重违纪问题进行了立案审查。","经查，孙怀山严重违反政治纪律和政治规矩，妄议党中央大政方针，搞团团伙伙，对抗组织审查；违反中央八项规定精神，违规接受公款宴请，安排有关单位公款接待家属旅游；违反廉洁纪律，收受礼品、礼金，利用职权和职务上的影响为其子的经营活动谋取利益。利用职务上的便利为他人谋取利益并收受财物，涉嫌受贿犯罪。","孙怀山身为中央委员，政治上对党不忠诚，经济上贪婪，严重违反党的纪律，并涉嫌受贿犯罪，性质恶劣、情节严重。依据《中国共产党纪律处分条例》等有关规定，经中央纪委常委会会议研究并报中央政治局会议审议，决定给予孙怀山开除党籍、开除公职处分；终止其党的十八大代表资格；收缴其违纪所得；将其涉嫌犯罪问题、线索及所涉款物移送司法机关依法处理。给予其开除党籍的处分，待召开中央委员会全体会议时予以追认。",0
"9","司法部原党组成员、政治部主任卢恩光严重违纪被开除党籍和公职","日前，经中共中央批准，中共中央纪委对司法部原党组成员、政治部主任卢恩光严重违纪问题进行了立案审查。","经查，卢恩光年龄、入党材料、工作经历、学历、家庭情况等全面造假，长期欺瞒组织；金钱开道，一路拉关系买官和谋取荣誉，从一名私营企业主一步步变身为副部级干部；亦官亦商，控制经营多家企业，通过不正当手段为企业谋取利益；对抗组织审查。为在职务提拔、企业经营等方面谋取不正当利益，送给国家工作人员巨额财物，涉嫌行贿犯罪。","卢恩光价值观念严重扭曲，严重违反党的纪律，并涉嫌违法犯罪，严重损害了党的形象和选人用人制度，破坏了相关地方和单位的政治生态，性质恶劣、情节严重。依据《中国共产党纪律处分条例》等有关规定，经中央纪委常委会会议研究并报中共中央批准，决定给予卢恩光开除党籍处分；由监察部报国务院批准，给予其开除公职处分；撤销其违规获得的荣誉称号；将其涉嫌犯罪问题及所涉款物移送司法机关依法处理。",0
"10","上海市人民检察院原党组书记、检察长陈旭严重违纪被开除党籍","日前，经中共中央批准，中共中央纪委对上海市人民检察院原党组书记、检察长陈旭严重违纪问题进行了立案审查。","经查，陈旭严重违反政治纪律和政治规矩，作为党组织主要负责人，履行全面从严治党主体责任不力，违规干预和插手司法活动，大搞以案谋私，严重损害司法公信力，对抗组织审查，长期搞迷信活动；违反中央八项规定精神，违规出入私人会所，接受他人安排的旅游和打高尔夫球活动；违反组织纪律，在组织函询时不如实说明问题；违反廉洁纪律，收受礼品、礼金，利用职务上的便利为他人谋取利益，亲属收受财物，违规从事营利活动；违反生活纪律。利用职务上的便利或影响为他人谋取利益并收受巨额财物，涉嫌受贿犯罪。","陈旭身为党的高级领导干部，理想信念丧失，纪律底线失守，严重违反党的纪律，并涉嫌违法犯罪，严重损害司法公信力和社会公平正义，性质恶劣、影响极坏，系党的十八大后仍不收敛、不收手的典型。依据《中国共产党纪律处分条例》等有关规定，经中央纪委常委会会议研究并报中共中央批准，决定给予陈旭开除党籍处分，取消其退休待遇；收缴其违纪所得；将其涉嫌犯罪问题、线索及所涉款物移送司法机关依法处理。",0
